Town,Address,Sale Price,Sale Date
BAYCHESTER,3220 GUNTHER AVENUE,765000,10/1/19
COUNTRY CLUB,"1490 OUTLOOK AVENUE, 2M",500000,10/1/19
MORRISANIA/LONGWOOD,923 HOME STREET,104442,10/1/19
MORRISANIA/LONGWOOD,"837 WASHINGTON AVENUE, 4K",389900,10/1/19
PARKCHESTER,"1575 UNIONPORT ROAD, 3B",94620,10/1/19
PARKCHESTER,"44 METROPOLITAN OVAL, 7G",259000,10/1/19
PELHAM PARKWAY SOUTH,"2165 MATTHEWS AVENUE, 5F",195555,10/1/19
SOUNDVIEW,294 BOLTON AVENUE,500000,10/1/19
WAKEFIELD,1826 BUSSING AVENUE,615000,10/1/19
WAKEFIELD,1824 BUSSING AVENUE,615000,10/1/19
WESTCHESTER,2401 EAST TREMONT AVENUE,750000,10/1/19
BELMONT,2486 HUGHES AVENUE,2500000,10/2/19
BRONXDALE,3315 LURTING AVENUE,860000,10/2/19
EAST TREMONT,1226 EAST TREMONT AVENUE,375000,10/2/19
HIGHBRIDGE/MORRIS HEIGHTS,"1001 ANDERSON AVENUE, 33",145000,10/2/19
HUNTS POINT,853 MANIDA STREET,384800,10/2/19
MORRISANIA/LONGWOOD,3208 3RD AVENUE,3275000,10/2/19
PARKCHESTER,"9 METROPOLITAN OVAL, 4G",160000,10/2/19
RIVERDALE,"2500 JOHNSON AVENUE, 7E",246000,10/2/19
RIVERDALE,"5800 ARLINGTON AVENUE, 4F",280000,10/2/19
RIVERDALE,"4961 HENRY HUDSON PARKWAY WEST, 4961",685000,10/2/19
SCHUYLERVILLE/PELHAM BAY,1810 PARKVIEW AVENUE,565000,10/2/19
WAKEFIELD,4156 BRUNER AVENUE,285000,10/2/19
WAKEFIELD,4150 BRUNER AVENUE,285000,10/2/19
BELMONT,2308 BEAUMONT AVENUE,325000,10/3/19
BRONXDALE,"2550 OLINVILLE AVENUE, PS135",10000,10/3/19
BRONXDALE,"2550 OLINVILLE AVENUE, 1A",145000,10/3/19
CITY ISLAND,85 EARLEY STREET,800000,10/3/19
FIELDSTON,"255 FIELDSTON TERRACE,, 3M",230637,10/3/19
HUNTS POINT,437 MANIDA STREET,700000,10/3/19
HUNTS POINT,439 MANIDA STREET,950000,10/3/19
MELROSE/CONCOURSE,"675 WALTON AVENUE, 2F",415000,10/3/19
MORRISANIA/LONGWOOD,649 EAGLE AVENUE,710000,10/3/19
MORRISANIA/LONGWOOD,"823 JACKSON AVENUE, B",320000,10/3/19
MORRISANIA/LONGWOOD,"1240 PROSPECT AVENUE, 1C",239000,10/3/19
MORRISANIA/LONGWOOD,851 PROSPECT AVENUE,2200000,10/3/19
PARKCHESTER,1971 BENEDICT AVENUE,940000,10/3/19
PARKCHESTER,"1590 METROPOLITAN AVE, 3G",247000,10/3/19
PARKCHESTER,"1936 EAST TREMONT AVENUE, 6E",215000,10/3/19
PARKCHESTER,"1561 METROPOLITAN AVENUE, 4F",262500,10/3/19
RIVERDALE,"2601 HENRY HUDSON PARKWAY, 2DE",740000,10/3/19
SOUNDVIEW,1317 CROES AVENUE,805000,10/3/19
SOUNDVIEW,1311 HARROD AVE,10,10/3/19
SOUNDVIEW,"875 MORRISON AVENUE, 15E",290161,10/3/19
WAKEFIELD,4228 BRUNER AVENUE,650000,10/3/19
WILLIAMSBRIDGE,1012 EAST 230TH STREET,435000,10/3/19
WILLIAMSBRIDGE,949 EAST 221 STREET,335000,10/3/19
BAYCHESTER,1320 EAST 222 STREET,1000,10/4/19
BAYCHESTER,3141 MICKLE AVENUE,502000,10/4/19
BAYCHESTER,1232 EAST 224 STREET,655000,10/4/19
BAYCHESTER,N/A EAST 222 STREET,1000,10/4/19
BEDFORD PARK/NORWOOD,3178 VILLA AVENUE,730000,10/4/19
BRONXDALE,2917 ONEILL PLACE,554000,10/4/19
BRONXDALE,3018 LACONIA AVENUE,404250,10/4/19
CASTLE HILL/UNIONPORT,2239 HERMANY AVE,460000,10/4/19
CITY ISLAND,77 BAY STREET,580000,10/4/19
CITY ISLAND,400 KING AVENUE,600000,10/4/19
CITY ISLAND,N/A DITMARS STREET,600000,10/4/19
COUNTRY CLUB,3191 FAIRMOUNT AVENUE,400000,10/4/19
COUNTRY CLUB,1152 THROGMORTON AVENUE,392000,10/4/19
FIELDSTON,"255 FIELDSTON TERRACE, LJ",205000,10/4/19
HIGHBRIDGE/MORRIS HEIGHTS,1876 CEDAR AVE,560000,10/4/19
MORRIS PARK/VAN NEST,1632 RADCLIFF AVENUE,530000,10/4/19
MORRISANIA/LONGWOOD,1384 BOSTON ROAD,6050000,10/4/19
MORRISANIA/LONGWOOD,1390 BOSTON ROAD,6050000,10/4/19
MORRISANIA/LONGWOOD,"704 BROOK AVENUE, 5V",285000,10/4/19
MORRISANIA/LONGWOOD,1230 PROSPECT AVENUE,1200000,10/4/19
PARKCHESTER,1495 BEACH AVENUE,746062,10/4/19
PARKCHESTER,"1922 MCGRAW AVENUE, 6E",155000,10/4/19
PARKCHESTER,"1525 UNIONPORT ROAD, 4F",210000,10/4/19
PARKCHESTER,"1368 METROPOLITAN AVENUE, 5G",240000,10/4/19
PELHAM PARKWAY SOUTH,"2191 BOLTON STREET, 2A",199000,10/4/19
SOUNDVIEW,1140 THIERIOT AVENUE,530000,10/4/19
SOUNDVIEW,1246 STRATFORD AVENUE,850000,10/4/19
THROGS NECK,3088 ALAN PLACE,539000,10/4/19
THROGS NECK,282 BRINSMADE AVENUE,500000,10/4/19
THROGS NECK,3090 ALAN PLACE,539000,10/4/19
WAKEFIELD,4362 ELY AVENUE,492900,10/4/19
WAKEFIELD,4625 CARPENTER AVENUE,470000,10/4/19
WILLIAMSBRIDGE,3533 PAULDING AVE,578000,10/4/19
WILLIAMSBRIDGE,950 EAST 214 STREET,494000,10/4/19
WILLIAMSBRIDGE,4051 BARNES AVENUE,675010,10/5/19
SOUNDVIEW,563 ST LAWRENCE AVENUE,589790,10/6/19
BEDFORD PARK/NORWOOD,"306 EAST MOSHOLU PARKWAY SOUTH, 6A",85000,10/7/19
BRONXDALE,3043 PAULDING AVENUE,573275,10/7/19
CASTLE HILL/UNIONPORT,311 TORRY AVENUE,670000,10/7/19
COUNTRY CLUB,3283 RADIO DRIVE,625000,10/7/19
EAST TREMONT,2156 HUGHES AVENUE,331000,10/7/19
FIELDSTON,5073 FIELDSTON ROAD,1085000,10/7/19
KINGSBRIDGE/JEROME PARK,"315 WEST 232ND STREET, 5M",259000,10/7/19
MELROSE/CONCOURSE,205 EAST 163RD STREET,20000,10/7/19
MELROSE/CONCOURSE,"800 GRAND CONCOURSE, LA-N",162000,10/7/19
MORRIS PARK/VAN NEST,1839 HONE AVENUE,560000,10/7/19
MORRIS PARK/VAN NEST,1653 HUNT AVENUE,576000,10/7/19
PARKCHESTER,"9 METROPOLITAN OVAL, MG",200000,10/7/19
RIVERDALE,664 WEST 232 STREET,1520000,10/7/19
RIVERDALE,"555 KAPPOCK STREET, 8H",325888,10/7/19
SCHUYLERVILLE/PELHAM BAY,1316 EDISON AVENUE,707000,10/7/19
SCHUYLERVILLE/PELHAM BAY,2968 MIDDLETOWN ROAD,3025000,10/7/19
SOUNDVIEW,550 BOLTON AVE,45000,10/7/19
SOUNDVIEW,1255 MORRISON AVENUE,825000,10/7/19
