Town,Address,Sale Price,Sale Date
BEDFORD PARK/NORWOOD,3406 KNOX PLACE,760000,1/2/20
CITY ISLAND,"43 ISLAND POINT, 43",1100000,1/2/20
COUNTRY CLUB,1440 MACDONOUGH PLACE,483000,1/2/20
CROTONA PARK,1502 VYSE AVENUE,755416,1/2/20
MORRISANIA/LONGWOOD,1320 CHISHOLM ST,275000,1/2/20
MORRISANIA/LONGWOOD,415 EAST 162 STREET,750000,1/2/20
PARKCHESTER,"1545 UNIONPORT ROAD, 2A",190000,1/2/20
PELHAM GARDENS,2310 VANCE STREET,365000,1/2/20
PELHAM GARDENS,2566 KINGSLAND AVE,375000,1/2/20
PELHAM PARKWAY SOUTH,"1144 LYDIG AVENUE, 1H",155000,1/2/20
SOUNDVIEW,1165 COLGATE AVENUE,350000,1/2/20
BAYCHESTER,1167 GRENADA PLACE,540000,1/3/20
BRONXDALE,2914 BOUCK AVENUE,296875,1/3/20
BRONXDALE,3232 BRONX BOULEVARD,740000,1/3/20
CASTLE HILL/UNIONPORT,2125 QUIMBY AVENUE,500000,1/3/20
CASTLE HILL/UNIONPORT,2110 QUIMBY AVENUE,60000,1/3/20
COUNTRY CLUB,1316 KEARNEY AVENUE,800000,1/3/20
COUNTRY CLUB,1110 CLARENCE AVENUE,756500,1/3/20
CROTONA PARK,1817 WATERLOO PLACE,625000,1/3/20
FORDHAM,2085 TIEBOUT AVENUE,780000,1/3/20
MELROSE/CONCOURSE,1320 FINDLAY AVENUE,395000,1/3/20
MORRIS PARK/VAN NEST,710 SAGAMORE STREET,505000,1/3/20
PARKCHESTER,"24 METROPOLITAN OVAL, ME",140000,1/3/20
PELHAM PARKWAY SOUTH,1006 ESPLANADE,505000,1/3/20
RIVERDALE,5653 POST ROAD,650000,1/3/20
RIVERDALE,"2500 JOHNSON AVENUE, 6R",367000,1/3/20
RIVERDALE,"60 KNOLLS CRESCENT, 3C",163350,1/3/20
SOUNDVIEW,"821 UNDERHILL AVENUE, 4C",330821,1/3/20
WAKEFIELD,4527 MURDOCK AVENUE,495000,1/3/20
WAKEFIELD,4719 MATILDA AVENUE,370000,1/3/20
WAKEFIELD,2015 CAMP STREET,783000,1/3/20
WILLIAMSBRIDGE,746 EAST 224TH STREET,245800,1/3/20
WILLIAMSBRIDGE,622 EAST 226 ST,671500,1/3/20
WILLIAMSBRIDGE,651 EAST 226 STREET,500,1/3/20
WILLIAMSBRIDGE,1033 EAST 225TH STREET,776000,1/3/20
BAYCHESTER,3453 KINGSLAND AVENUE,440000,1/6/20
BRONXDALE,3044 RADCLIFF AVENUE,410000,1/6/20
CROTONA PARK,1800 CLINTON AVE,493818,1/6/20
FIELDSTON,4740 ISELIN AVENUE,1512500,1/6/20
HIGHBRIDGE/MORRIS HEIGHTS,"150 FEATHERBED LANE, 1001",235000,1/6/20
MELROSE/CONCOURSE,331 EAST 159TH STREET,900000,1/6/20
MORRIS PARK/VAN NEST,932 NEILL AVENUE,10,1/6/20
MORRISANIA/LONGWOOD,1236 TINTON AVENUE,1,1/6/20
MORRISANIA/LONGWOOD,1287 INTERVALE AVE,440000,1/6/20
MOTT HAVEN/PORT MORRIS,181 BROOK AVENUE,10,1/6/20
PARKCHESTER,1627 VAN BUREN STREET,435000,1/6/20
PARKCHESTER,"1491 METROPOLITAN AVENUE, 6E",195000,1/6/20
PELHAM GARDENS,1503 FIELDING STREET,432500,1/6/20
RIVERDALE,"679 WEST 239 STREET, 6B",499500,1/6/20
SOUNDVIEW,1129 UNDERHILL AVE,750000,1/6/20
SOUNDVIEW,"231 ADMIRAL LANE, 2231H",375000,1/6/20
THROGS NECK,3009 PHILIP AVENUE,240000,1/6/20
WAKEFIELD,718 EAST 243 STREET,540000,1/6/20
BEDFORD PARK/NORWOOD,2749 CRESTON AVENUE,210000,1/7/20
BRONXDALE,1060 ARNOW AVENUE,783106,1/7/20
CITY ISLAND,197 BEACH STREET,520000,1/7/20
COUNTRY CLUB,1011 WILCOX AVE,850000,1/7/20
KINGSBRIDGE/JEROME PARK,3413 CANNON PLACE,680000,1/7/20
KINGSBRIDGE/JEROME PARK,2810 WEBB AVENUE,1800000,1/7/20
MELROSE/CONCOURSE,"800 GRAND CONCOURSE, 3R-S",300000,1/7/20
MORRISANIA/LONGWOOD,1185 WASHINGTON AVENUE,950000,1/7/20
