DATE_OF_INTEREST,Case,Hospitalizations,Deaths
2/29/20,0,0,0
3/3/20,0,0,0
3/4/20,1,1,0
3/5/20,3,2,0
3/6/20,1,1,0
3/7/20,2,2,0
3/8/20,5,7,0
3/9/20,16,11,0
3/10/20,11,10,0
3/11/20,31,10,0
3/12/20,96,28,0
3/13/20,166,36,0
3/14/20,163,38,1
3/15/20,433,46,0
3/16/20,740,92,1
3/17/20,783,96,4
3/18/20,966,120,6
3/19/20,1204,152,6
3/20/20,1137,199,11
3/21/20,554,183,12
3/22/20,755,193,10
3/23/20,911,297,27
3/24/20,1212,343,23
3/25/20,1253,409,37
3/26/20,1375,483,50
3/27/20,1424,453,75
3/28/20,862,396,78
3/29/20,1148,447,90
3/30/20,1755,558,106
3/31/20,1517,526,126
4/1/20,1592,506,135
4/2/20,1617,435,170
4/3/20,1441,441,142
4/4/20,922,360,163
4/5/20,1140,386,167
4/6/20,1467,500,169
4/7/20,1400,504,181
4/8/20,1310,450,173
4/9/20,1369,433,190
4/10/20,1152,359,178
4/11/20,1129,316,159
4/12/20,701,271,200
4/13/20,1065,356,158
4/14/20,1036,290,152
4/15/20,881,292,132
4/16/20,883,249,126
4/17/20,960,258,118
4/18/20,575,178,116
4/19/20,635,144,118
4/20/20,983,203,95
4/21/20,897,169,92
4/22/20,854,155,108
4/23/20,786,150,106
4/24/20,629,139,93
4/25/20,405,99,76
4/26/20,332,81,61
4/27/20,608,105,88
4/28/20,711,103,57
4/29/20,681,96,72
4/30/20,600,76,66
5/1/20,498,74,56
5/2/20,264,53,45
5/3/20,247,55,45
5/4/20,462,73,42
5/5/20,433,62,49
5/6/20,451,69,38
5/7/20,402,63,46
5/8/20,344,64,43
5/9/20,119,41,28
5/10/20,188,36,26
5/11/20,410,59,33
5/12/20,400,40,33
5/13/20,362,51,23
5/14/20,334,40,14
5/15/20,259,46,26
5/16/20,165,27,24
5/17/20,137,15,19
5/18/20,266,29,17
5/19/20,328,41,16
5/20/20,325,31,21
5/21/20,337,39,15
5/22/20,355,42,15
5/23/20,147,22,20
5/24/20,165,21,12
5/25/20,161,24,14
5/26/20,319,21,12
5/27/20,246,23,11
5/28/20,222,30,12
5/29/20,168,20,16
5/30/20,106,18,11
5/31/20,84,18,11
6/1/20,252,33,10
6/2/20,185,24,6
6/3/20,133,26,13
6/4/20,131,26,10
6/5/20,131,17,6
6/6/20,59,10,10
6/7/20,52,18,6
6/8/20,112,19,13
6/9/20,121,22,6
6/10/20,97,17,11
6/11/20,114,15,4
6/12/20,123,21,6
6/13/20,52,11,4
6/14/20,53,12,7
6/15/20,102,22,4
6/16/20,133,24,5
6/17/20,113,13,7
6/18/20,112,16,4
6/19/20,91,23,3
6/20/20,46,9,4
6/21/20,54,18,6
6/22/20,109,19,7
6/23/20,95,16,9
6/24/20,101,16,11
6/25/20,82,11,5
6/26/20,94,17,3
6/27/20,70,19,11
6/28/20,58,11,1
6/29/20,127,24,5
6/30/20,127,17,5
7/1/20,120,13,5
7/2/20,129,14,4
7/3/20,72,13,4
7/4/20,23,9,6
7/5/20,53,3,5
7/6/20,142,23,4
7/7/20,123,7,4
7/8/20,121,12,5
7/9/20,104,12,4
7/10/20,91,16,3
7/11/20,72,14,2
7/12/20,55,10,4
7/13/20,123,14,2
7/14/20,110,9,4
7/15/20,150,18,2
7/16/20,90,10,3
7/17/20,104,16,0
7/18/20,58,7,5
7/19/20,40,9,3
7/20/20,85,9,4
7/21/20,79,11,5
7/22/20,96,13,1
7/23/20,84,10,5
7/24/20,67,12,2
7/25/20,35,9,2
7/26/20,40,7,4
7/27/20,80,14,2
7/28/20,106,18,1
7/29/20,72,11,1
7/30/20,97,17,2
7/31/20,79,10,1
8/1/20,58,15,3
8/2/20,41,9,2
8/3/20,93,12,0
8/4/20,50,12,2
8/5/20,94,13,0
8/6/20,85,10,2
8/7/20,89,9,0
8/8/20,57,5,1
8/9/20,48,10,0
8/10/20,73,12,1
8/11/20,80,8,1
8/12/20,114,9,0
8/13/20,86,14,2
8/14/20,79,11,1
8/15/20,33,8,2
8/16/20,49,5,1
8/17/20,95,9,1
8/18/20,65,9,0
8/19/20,68,13,1
8/20/20,55,7,3
8/21/20,76,9,0
8/22/20,35,7,2
8/23/20,56,5,0
8/24/20,85,5,1
8/25/20,83,14,2
8/26/20,116,11,1
8/27/20,95,8,0
8/28/20,79,9,1
8/29/20,38,9,1
8/30/20,60,4,2
8/31/20,115,14,0
9/1/20,92,8,0
9/2/20,97,11,3
9/3/20,91,9,2
9/4/20,71,10,1
9/5/20,46,9,3
9/6/20,87,13,2
9/7/20,74,7,0
9/8/20,128,9,1
9/9/20,119,11,0
9/10/20,125,8,0
9/11/20,110,8,1
9/12/20,50,4,0
9/13/20,117,8,2
9/14/20,166,10,2
9/15/20,149,11,0
9/16/20,161,24,0
9/17/20,123,9,1
9/18/20,102,14,2
9/19/20,36,7,2
9/20/20,60,6,1
9/21/20,248,9,1
9/22/20,170,13,3
9/23/20,231,24,1
9/24/20,231,10,1
9/25/20,184,21,0
9/26/20,105,8,1
9/27/20,179,16,2
9/28/20,138,13,2
9/29/20,327,16,3
9/30/20,270,31,4
10/1/20,289,20,1
10/2/20,259,24,1
10/3/20,79,9,1
10/4/20,164,23,3
10/5/20,431,21,0
10/6/20,248,20,1
10/7/20,215,18,1
10/8/20,209,15,2
10/9/20,171,26,0
10/10/20,93,19,0
10/11/20,106,16,2
10/12/20,163,23,0
10/13/20,146,14,3
10/14/20,43,21,3
10/15/20,235,35,2
10/16/20,163,19,3
10/17/20,88,10,3
10/18/20,175,18,1
10/19/20,204,25,6
10/20/20,215,30,2
10/21/20,200,16,3
10/22/20,242,11,2
10/23/20,195,23,0
10/24/20,116,23,0
10/25/20,128,22,3
10/26/20,216,12,1
10/27/20,231,21,3
10/28/20,219,16,3
10/29/20,183,15,2
10/30/20,186,11,4
10/31/20,108,11,2
11/1/20,219,17,7
11/2/20,329,17,6
11/3/20,276,21,5
11/4/20,291,22,5
11/5/20,267,20,4
11/6/20,187,15,2
11/7/20,149,8,3
11/8/20,180,7,0
