NEIGHBORHOOD,ADDRESS,Sale Price,SALE DATE
BAY RIDGE,8508 7 AVENUE,680000,10/1/19
BAY RIDGE,"9031 FORT HAMILTON PARKWAY, 1I",312500,10/1/19
BEDFORD STUYVESANT,452 MACON STREET,1400000,10/1/19
BEDFORD STUYVESANT,193 MAC DONOUGH STREET,750000,10/1/19
BEDFORD STUYVESANT,65 QUINCY STREET,1700000,10/1/19
BEDFORD STUYVESANT,715 DEKALB AVENUE,1850000,10/1/19
BERGEN BEACH,2134-2138 EAST 74TH STREET,989000,10/1/19
BOERUM HILL,"94 WYCKOFF STREET, 3R",650000,10/1/19
BROOKLYN HEIGHTS,"160 COLUMBIA HEIGHTS, 4F",1480000,10/1/19
BROWNSVILLE,66 RIVERDALE AVENUE,795000,10/1/19
BUSHWICK,1105 BUSHWICK AVENUE,690000,10/1/19
COBBLE HILL-WEST,"29 TIFFANY PLACE, 1-E",1285000,10/1/19
DYKER HEIGHTS,1055 70TH STREET,1100000,10/1/19
EAST NEW YORK,614 HENDRIX STREET,10,10/1/19
EAST NEW YORK,"12205 FLATLANDS AVENUE, 7 6A",178000,10/1/19
FLATBUSH-CENTRAL,1270 NOSTRAND AVENUE,725000,10/1/19
FLATBUSH-CENTRAL,536 EAST 29TH STREET,975000,10/1/19
FLATBUSH-CENTRAL,"385 EAST 18TH STREET, 6L",315000,10/1/19
FLATBUSH-EAST,1040 EAST 45TH STREET,1200000,10/1/19
FLATLANDS,"2020 EAST 41 STREET, 1F",60000,10/1/19
FORT GREENE,"75 GREENE AVENUE, 2D",888780,10/1/19
GERRITSEN BEACH,20 GAIN COURT,608000,10/1/19
GREENPOINT,"99-101 KINGSLAND AVE, 406",402392,10/1/19
GREENPOINT,"21 INDIA STREET, PHC",2019444,10/1/19
PARK SLOPE,"279 1ST STREET, 4C",845000,10/1/19
PARK SLOPE,"343 4TH AVENUE, 4D",1150000,10/1/19
PARK SLOPE SOUTH,415 18TH STREET,1530000,10/1/19
SUNSET PARK,623 46TH STREET,1240000,10/1/19
WILLIAMSBURG-SOUTH,"180 SOUTH 4TH STREET, 4S",1625000,10/1/19
BATH BEACH,"1051 SHORE PKWY, 2B",298000,10/2/19
BAY RIDGE,83 DAHLGREN PLACE,700000,10/2/19
BAY RIDGE,"6801 SHORE ROAD, 3R",525000,10/2/19
BEDFORD STUYVESANT,351 QUINCY STREET,1885000,10/2/19
BEDFORD STUYVESANT,389 JEFFERSON AVENUE,1420000,10/2/19
BEDFORD STUYVESANT,"210 PULASKI STREET, 3A",499000,10/2/19
BEDFORD STUYVESANT,"143 CLASSON AVENUE, 1D",850000,10/2/19
BEDFORD STUYVESANT,"222 SKILLMAN STREET, 2E",750000,10/2/19
BEDFORD STUYVESANT,"226 HART ST, 3B",580000,10/2/19
BEDFORD STUYVESANT,"454 NOSTRAND AVENUE, 2",719000,10/2/19
BEDFORD STUYVESANT,"143 CLASSON AVENUE, S25",850000,10/2/19
BOROUGH PARK,828 41 STREET,1230000,10/2/19
BOROUGH PARK,1121 49TH STREET,1115000,10/2/19
BRIGHTON BEACH,"35 SEACOAST TERRACE, 4B",640000,10/2/19
BROOKLYN HEIGHTS,"278 HENRY STREET, 2",4500000,10/2/19
BROOKLYN HEIGHTS,"40 CLINTON STREET, 6H",570000,10/2/19
CANARSIE,1741 EAST 93RD STREET,10,10/2/19
CANARSIE,1631 EAST 95 STREET,1000,10/2/19
CONEY ISLAND,"501 SURF AVENUE, 21F",775000,10/2/19
CONEY ISLAND,"501 SURF AVENUE, 151",775000,10/2/19
CROWN HEIGHTS,"823 CLASSON, 3D",606000,10/2/19
EAST NEW YORK,563 MILLER AVENUE,878800,10/2/19
FLATBUSH-EAST,3819 AVENUE D,575000,10/2/19
FLATBUSH-EAST,"2525 NOSTRAND AVE, 7K",247000,10/2/19
FLATBUSH-NORTH,104 EAST 53RD STREET,1060000,10/2/19
FLATBUSH-NORTH,134 EAST 37TH STREET,602500,10/2/19
GRAVESEND,"1642 WEST 9TH STREET, 3A",588000,10/2/19
GRAVESEND,"1642 WEST 9TH STREET, P10",588000,10/2/19
GREENPOINT,"534 GRAHAM AVENUE, 3",320000,10/2/19
GREENPOINT,"280 NASSAU AVENUE, 1B",1225000,10/2/19
GREENPOINT,231 NORMAN AVENUE,699000,10/2/19
GREENPOINT,231 NORMAN AVENUE,699000,10/2/19
KENSINGTON,90 TEHAMA STREET,1325000,10/2/19
MADISON,"1728 EAST 19TH STREET, 4A",595000,10/2/19
MADISON,"1728 EAST 19TH STREET, P2",595000,10/2/19
MARINE PARK,"2256 HENDRICKSON STREET, P2",470000,10/2/19
OCEAN PARKWAY-NORTH,1533 MCDONALD AVENUE,1188000,10/2/19
OCEAN PARKWAY-NORTH,"264 WEBSTER AVENUE, 201",595676,10/2/19
OCEAN PARKWAY-SOUTH,"2400 EAST 3RD STREET, 512",275000,10/2/19
PARK SLOPE,561 9 STREET,2700000,10/2/19
PARK SLOPE,"560 CARROLL STREET, 7A",830000,10/2/19
PARK SLOPE SOUTH,233 12TH STREET,2303000,10/2/19
PROSPECT HEIGHTS,"436 STERLING PLACE, 11",970000,10/2/19
PROSPECT HEIGHTS,"873 PACIFIC STREET, 2A",1515000,10/2/19
SHEEPSHEAD BAY,"1109 BANNER AVENUE, 2A",479381,10/2/19
SHEEPSHEAD BAY,"1213 AVE Z, A25",385000,10/2/19
WILLIAMSBURG-EAST,161 MASPETH AVENUE,985000,10/2/19
WILLIAMSBURG-EAST,25 BUSHWICK AVE,2135000,10/2/19
BATH BEACH,210 BAY 7TH STREET,1710000,10/3/19
BATH BEACH,8861 15TH AVENUE,1680000,10/3/19
BATH BEACH,206 BAY 7TH STREET,1710000,10/3/19
BAY RIDGE,359 88TH STREET,550000,10/3/19
BAY RIDGE,317 90TH STREET,630000,10/3/19
BAY RIDGE,361 88TH STREET,950000,10/3/19
