NEIGHBORHOOD,ADDRESS,Sale_Price,SALE_DATE
BEDFORD STUYVESANT,190 TOMPKINS AVENUE,1,1/1/20
BOROUGH PARK,"5100 15TH AVENUE, 5O",395000,1/1/20
BOROUGH PARK,"5100 15TH AVENUE, 4J",395000,1/1/20
BOROUGH PARK,"5100 15TH AVENUE, 3M",395000,1/1/20
BAY RIDGE,311 MARINE AVENUE,1420000,1/2/20
BEDFORD STUYVESANT,207 MALCOLM X BOULEVARD,320000,1/2/20
BOROUGH PARK,1731 48TH STREET,850000,1/2/20
BOROUGH PARK,"5214 15TH AVENUE, 1A",875000,1/2/20
BRIGHTON BEACH,"108 NEPTUNE AVENUE, 4J",605000,1/2/20
BROOKLYN HEIGHTS,"155 HENRY STREET, 4A",661000,1/2/20
BUSH TERMINAL,"5418 3 AVENUE, 1A",550000,1/2/20
BUSHWICK,1064 HALSEY STREET,1100000,1/2/20
BUSHWICK,"1178 GREENE AVE, 3",729000,1/2/20
CANARSIE,1531 EAST 96 STREET,550000,1/2/20
COBBLE HILL,181 DEGRAW STREET,3300000,1/2/20
FLATBUSH-CENTRAL,"5 STRATFORD ROAD, 17",612000,1/2/20
FLATLANDS,1368 EAST 53RD STREET,1200000,1/2/20
FLATLANDS,1414 EAST 51ST STREET,545000,1/2/20
FLATLANDS,1495-99 EAST 46 STREET,20000,1/2/20
FORT GREENE,123 DEKALB AVENUE,20000,1/2/20
GREENPOINT,"102 CLAY STREET, 4",1275000,1/2/20
KENSINGTON,N/A 36TH STREET,3046875,1/2/20
KENSINGTON,1317 36TH STREET,4996875,1/2/20
MANHATTAN BEACH,4174 OCEAN AVENUE,1211000,1/2/20
MARINE PARK,1647 EAST 37TH STREET,450000,1/2/20
MARINE PARK,1759 EAST 35TH STREET,720000,1/2/20
MIDWOOD,"1610 AVENUE P, 2O",418000,1/2/20
MIDWOOD,"1587 EAST 19TH STREET, 3I",481650,1/2/20
MIDWOOD,"1587 EAST 19TH STREET, 5I",546800,1/2/20
MIDWOOD,2640 NOSTRAND AVENUE,4000000,1/2/20
MIDWOOD,2644 NOSTRAND AVENUE,4000000,1/2/20
OCEAN HILL,663 DECATUR STREET,960000,1/2/20
OCEAN HILL,1269 HERKIMER STREET,1100000,1/2/20
SHEEPSHEAD BAY,"2829 HARING STREET, 6",600000,1/2/20
BATH BEACH,"30 BAY 29TH STREET, 1B",438000,1/3/20
BAY RIDGE,628 BAY RIDGE AVENUE,1500000,1/3/20
BEDFORD STUYVESANT,424A HART STREET,800000,1/3/20
