Queens_Sale_Price,QUEENS_SALE_DATE,,,Brooklyn_Sale_Price,BROOKLYN_SALE_DATE
1690673.00,43831.00,,,1.00,43831.00
233888.00,43831.00,,,395000.00,43831.00
1475000.00,43832.00,,,395000.00,43831.00
565000.00,43832.00,,,395000.00,43831.00
2230000.00,43832.00,,,1420000.00,43832.00
998000.00,43832.00,,,320000.00,43832.00
850000.00,43832.00,,,850000.00,43832.00
525000.00,43832.00,,,875000.00,43832.00
760000.00,43832.00,,,605000.00,43832.00
1250000.00,43832.00,,,661000.00,43832.00
590000.00,43832.00,,,550000.00,43832.00
1440000.00,43832.00,,,1100000.00,43832.00
1230000.00,43832.00,,,729000.00,43832.00
860000.00,43832.00,,,550000.00,43832.00
325000.00,43832.00,,,3300000.00,43832.00
565000.00,43832.00,,,612000.00,43832.00
500.00,43832.00,,,1200000.00,43832.00
523000.00,43832.00,,,545000.00,43832.00
665000.00,43832.00,,,20000.00,43832.00
350000.00,43832.00,,,20000.00,43832.00
345000.00,43832.00,,,1275000.00,43832.00
495000.00,43832.00,,,3046875.00,43832.00
385000.00,43832.00,,,4996875.00,43832.00
600000.00,43832.00,,,1211000.00,43832.00
769999.00,43832.00,,,450000.00,43832.00
845000.00,43832.00,,,720000.00,43832.00
520000.00,43832.00,,,418000.00,43832.00
891000.00,43832.00,,,481650.00,43832.00
510000.00,43833.00,,,546800.00,43832.00
925000.00,43833.00,,,4000000.00,43832.00
387500.00,43833.00,,,4000000.00,43832.00
1575000.00,43833.00,,,960000.00,43832.00
2250000.00,43833.00,,,1100000.00,43832.00
878000.00,43833.00,,,600000.00,43832.00
1275000.00,43833.00,,,438000.00,43833.00
700000.00,43833.00,,,1500000.00,43833.00
301158.00,43833.00,,,800000.00,43833.00
650000.00,43833.00,,,2175000.00,43833.00
450000.00,43833.00,,,930000.00,43833.00
500000.00,43833.00,,,612000.00,43833.00
620000.00,43833.00,,,410000.00,43833.00
561500.00,43833.00,,,417000.00,43833.00
1060000.00,43833.00,,,645965.00,43833.00
225000.00,43833.00,,,100.00,43833.00
795000.00,43833.00,,,799000.00,43833.00
244000.00,43833.00,,,465000.00,43833.00
500000.00,43833.00,,,1720000.00,43833.00
500000.00,43833.00,,,640000.00,43833.00
700000.00,43833.00,,,1190768.00,43833.00
1440000.00,43833.00,,,1410000.00,43833.00
485000.00,43833.00,,,340000.00,43833.00
295000.00,43833.00,,,500000.00,43833.00
520000.00,43833.00,,,832000.00,43833.00
700000.00,43833.00,,,370000.00,43833.00
262500.00,43833.00,,,195000.00,43833.00
715000.00,43833.00,,,1325000.00,43833.00
170000.00,43833.00,,,920498.00,43833.00
385000.00,43833.00,,,1200000.00,43833.00
325000.00,43833.00,,,1105000.00,43833.00
90000.00,43833.00,,,980000.00,43833.00
825000.00,43833.00,,,575000.00,43833.00
748000.00,43833.00,,,451500.00,43833.00
1404000.00,43833.00,,,6550000.00,43833.00
2373000.00,43833.00,,,6500000.00,43833.00
922304.00,43833.00,,,555000.00,43833.00
2373000.00,43833.00,,,1825000.00,43833.00
1404000.00,43833.00,,,855000.00,43833.00
550000.00,43833.00,,,1045000.00,43833.00
3450000.00,43833.00,,,879500.00,43833.00
820000.00,43833.00,,,2000.00,43834.00
517500.00,43833.00,,,10.00,43834.00
1250000.00,43833.00,,,50000.00,43834.00
283000.00,43833.00,,,2350000.00,43836.00
770000.00,43833.00,,,380000.00,43836.00
485000.00,43833.00,,,230000.00,43836.00
560000.00,43833.00,,,1710000.00,43836.00
870000.00,43833.00,,,1510000.00,43836.00
1190000.00,43833.00,,,800000.00,43836.00
1399999.00,43833.00,,,1250000.00,43836.00
865000.00,43833.00,,,2800000.00,43836.00
670000.00,43833.00,,,2800000.00,43836.00
975000.00,43833.00,,,1525000.00,43836.00
2500000.00,43833.00,,,1800000.00,43836.00
525000.00,43833.00,,,700000.00,43836.00
750000.00,43833.00,,,1170000.00,43836.00
280000.00,43833.00,,,482589.00,43836.00
395000.00,43833.00,,,385423.00,43836.00
450000.00,43833.00,,,875000.00,43836.00
600000.00,43833.00,,,1527375.00,43836.00
638680.00,43833.00,,,6150000.00,43836.00
610000.00,43833.00,,,13913.00,43836.00
204000.00,43833.00,,,630000.00,43836.00
575000.00,43833.00,,,330000.00,43836.00
254563.00,43834.00,,,125000.00,43836.00
210000.00,43836.00,,,740000.00,43836.00
1730000.00,43836.00,,,666954.00,43836.00
850000.00,43836.00,,,890000.00,43836.00
670000.00,43836.00,,,615000.00,43836.00
599000.00,43836.00,,,305000.00,43836.00
560000.00,43836.00,,,4999999.00,43836.00
815000.00,43836.00,,,1350000.00,43836.00
998000.00,43836.00,,,100.00,43836.00
870000.00,43836.00,,,185000.00,43836.00
808512.00,43836.00,,,898845.00,43836.00
571000.00,43836.00,,,2740000.00,43836.00
2600000.00,43836.00,,,700000.00,43836.00
200000.00,43836.00,,,53500000.00,43836.00
900000.00,43836.00,,,53500000.00,43836.00
680000.00,43836.00,,,4000000.00,43836.00
700000.00,43836.00,,,53500000.00,43836.00
955000.00,43836.00,,,4000000.00,43836.00
10.00,43836.00,,,500000.00,43836.00
230000.00,43836.00,,,60000.00,43836.00
330000.00,43836.00,,,60000.00,43836.00
270000.00,43836.00,,,2750000.00,43836.00
358000.00,43836.00,,,2750000.00,43836.00
968000.00,43836.00,,,1600000.00,43836.00
425000.00,43836.00,,,643999.00,43836.00
325000.00,43836.00,,,825000.00,43836.00
633000.00,43836.00,,,156500.00,43836.00
840000.00,43836.00,,,1350000.00,43836.00
580000.00,43836.00,,,850000.00,43836.00
336000.00,43836.00,,,1710000.00,43836.00
330000.00,43836.00,,,1550000.00,43836.00
4985000.00,43836.00,,,1850000.00,43836.00
4985000.00,43836.00,,,925000.00,43836.00
1600000.00,43836.00,,,1280000.00,43836.00
850239.00,43836.00,,,1425000.00,43836.00
2150000.00,43836.00,,,450000.00,43836.00
640000.00,43836.00,,,1235000.00,43836.00
13000000.00,43836.00,,,510000.00,43836.00
2150000.00,43836.00,,,1325000.00,43836.00
335000.00,43836.00,,,5000000.00,43836.00
675000.00,43836.00,,,623000.00,43836.00
520000.00,43836.00,,,738000.00,43836.00
431500.00,43836.00,,,500000.00,43836.00
550000.00,43836.00,,,405000.00,43836.00
269000.00,43836.00,,,542727.00,43836.00
765000.00,43836.00,,,10.00,43836.00
940000.00,43836.00,,,1200000.00,43836.00
950000.00,43836.00,,,465000.00,43836.00
975000.00,43836.00,,,560000.00,43836.00
975000.00,43836.00,,,560000.00,43836.00
365650.00,43836.00,,,1242265.00,43836.00
395000.00,43836.00,,,1237000.00,43836.00
340000.00,43836.00,,,785000.00,43836.00
415000.00,43836.00,,,990000.00,43836.00
570000.00,43836.00,,,2060000.00,43837.00
380000.00,43836.00,,,355500.00,43837.00
650000.00,43836.00,,,1018778.00,43837.00
1375000.00,43836.00,,,885000.00,43837.00
3300000.00,43837.00,,,1200000.00,43837.00
1030000.00,43837.00,,,1200000.00,43837.00
843000.00,43837.00,,,5300000.00,43837.00
407296.00,43837.00,,,1407000.00,43837.00
477500.00,43837.00,,,1075000.00,43837.00
435000.00,43837.00,,,650000.00,43837.00
470000.00,43837.00,,,1050000.00,43837.00
227500.00,43837.00,,,739500.00,43837.00
3200000.00,43837.00,,,1350000.00,43837.00
3200000.00,43837.00,,,795000.00,43837.00
960000.00,43837.00,,,609000.00,43837.00
855000.00,43837.00,,,288713.00,43837.00
275000.00,43837.00,,,25000.00,43837.00
420000.00,43837.00,,,1850000.00,43837.00
210000.00,43837.00,,,22900000.00,43837.00
1.00,43837.00,,,448390.00,43837.00
255000.00,43837.00,,,525000.00,43837.00
845000.00,43837.00,,,1400000.00,43837.00
779889.00,43837.00,,,1290000.00,43837.00
172000.00,43837.00,,,350000.00,43837.00
1360000.00,43837.00,,,3760413.00,43837.00
255000.00,43837.00,,,1360000.00,43837.00
615000.00,43837.00,,,3760413.00,43837.00
975000.00,43837.00,,,1225000.00,43837.00
275000.00,43837.00,,,3760413.00,43837.00
391925.00,43837.00,,,390000.00,43837.00
553166.00,43837.00,,,999999.00,43837.00
145000.00,43837.00,,,520000.00,43837.00
500000.00,43837.00,,,1250.00,43837.00
339000.00,43837.00,,,643750.00,43837.00
509000.00,43837.00,,,1785000.00,43837.00
438000.00,43837.00,,,1350000.00,43837.00
1069163.00,43837.00,,,790000.00,43837.00
1365000.00,43837.00,,,1535000.00,43837.00
715000.00,43837.00,,,442500.00,43837.00
239999.00,43837.00,,,800000.00,43837.00
250000.00,43837.00,,,1525000.00,43837.00
561000.00,43837.00,,,1200000.00,43837.00
975000.00,43837.00,,,750000.00,43837.00
735000.00,43837.00,,,3350000.00,43837.00
292000.00,43837.00,,,1260000.00,43837.00
215000.00,43837.00,,,240000.00,43837.00
275000.00,43837.00,,,2600000.00,43837.00
910000.00,43837.00,,,535000.00,43837.00
525038.00,43837.00,,,595676.00,43837.00
755000.00,43837.00,,,592622.00,43837.00
1760000.00,43837.00,,,855000.00,43837.00
980000.00,43837.00,,,639000.00,43837.00
1180000.00,43837.00,,,639000.00,43837.00
380000.00,43837.00,,,660000.00,43837.00
499999.00,43837.00,,,855000.00,43837.00
630000.00,43837.00,,,2180000.00,43837.00
407642.00,43837.00,,,412500.00,43838.00
1832850.00,43837.00,,,1440000.00,43838.00
900000.00,43837.00,,,1495000.00,43838.00
750000.00,43837.00,,,865000.00,43838.00
1250000.00,43838.00,,,1470000.00,43838.00
1800000.00,43838.00,,,300000.00,43838.00
1800000.00,43838.00,,,1080000.00,43838.00
1460000.00,43838.00,,,760000.00,43838.00
130000.00,43838.00,,,15250000.00,43838.00
280000.00,43838.00,,,15250000.00,43838.00
1400000.00,43838.00,,,15250000.00,43838.00
804418.00,43838.00,,,15250000.00,43838.00
1250000.00,43838.00,,,15250000.00,43838.00
318000.00,43838.00,,,650000.00,43838.00
240000.00,43838.00,,,795000.00,43838.00
292000.00,43838.00,,,640000.00,43838.00
76000.00,43838.00,,,500000.00,43838.00
1250000.00,43838.00,,,442063.00,43838.00
1050000.00,43838.00,,,639000.00,43838.00
813000.00,43838.00,,,1436340.00,43838.00
820000.00,43838.00,,,639000.00,43838.00
1082106.00,43838.00,,,114000.00,43838.00
808604.00,43838.00,,,475000.00,43838.00
540000.00,43838.00,,,950000.00,43838.00
2640000.00,43838.00,,,1650000.00,43838.00
2640000.00,43838.00,,,1900000.00,43838.00
2640000.00,43838.00,,,900000.00,43838.00
2640000.00,43838.00,,,7380000.00,43838.00
2640000.00,43838.00,,,7380000.00,43838.00
2640000.00,43838.00,,,715000.00,43838.00
950000.00,43838.00,,,1315000.00,43838.00
260000.00,43838.00,,,1875000.00,43838.00
758000.00,43838.00,,,460000.00,43838.00
333000.00,43838.00,,,222000.00,43838.00
330918.00,43838.00,,,2305000.00,43838.00
370000.00,43838.00,,,3100000.00,43838.00
278760.00,43838.00,,,895000.00,43838.00
70000.00,43838.00,,,2050000.00,43838.00
1619018.00,43838.00,,,230000.00,43838.00
630000.00,43838.00,,,496860.00,43838.00
289000.00,43838.00,,,404586.00,43838.00
575000.00,43838.00,,,975000.00,43838.00
837000.00,43838.00,,,451230.00,43838.00
1100000.00,43838.00,,,990000.00,43838.00
650000.00,43838.00,,,1630000.00,43839.00
724000.00,43838.00,,,125444.00,43839.00
1225000.00,43838.00,,,1200000.00,43839.00
570000.00,43838.00,,,1999000.00,43839.00
350000.00,43838.00,,,810000.00,43839.00
277500.00,43838.00,,,1245000.00,43839.00
429000.00,43838.00,,,1245000.00,43839.00
127000.00,43838.00,,,990000.00,43839.00
480000.00,43838.00,,,10.00,43839.00
580000.00,43838.00,,,2650000.00,43839.00
1250000.00,43838.00,,,504823.00,43839.00
296000.00,43838.00,,,504823.00,43839.00
755000.00,43838.00,,,496860.00,43839.00
475000.00,43838.00,,,319410.00,43839.00
475000.00,43838.00,,,496860.00,43839.00
1700000.00,43838.00,,,319410.00,43839.00
255000.00,43838.00,,,504823.00,43839.00
320000.00,43838.00,,,504823.00,43839.00
562000.00,43838.00,,,504823.00,43839.00
638000.00,43838.00,,,2550000.00,43839.00
635000.00,43838.00,,,2125000.00,43839.00
515235.00,43838.00,,,1600000.00,43839.00
265000.00,43838.00,,,1135000.00,43839.00
152000.00,43838.00,,,999999.00,43839.00
405000.00,43838.00,,,699000.00,43839.00
825000.00,43838.00,,,535000.00,43839.00
755000.00,43838.00,,,1935000.00,43839.00
700000.00,43838.00,,,890000.00,43839.00
410000.00,43838.00,,,680000.00,43839.00
450000.00,43838.00,,,442000.00,43839.00
539000.00,43838.00,,,490000.00,43839.00
410000.00,43838.00,,,1820000.00,43839.00
645000.00,43838.00,,,975000.00,43839.00
125000.00,43838.00,,,1000000.00,43839.00
475000.00,43838.00,,,980000.00,43839.00
6000.00,43838.00,,,614005.00,43839.00
688000.00,43838.00,,,980000.00,43839.00
725000.00,43838.00,,,337500.00,43839.00
