DATE_OF_INTEREST,BRONX_DATE_OF_INTEREST,BRONX_Case,BRONX_Hospitalization,BRONX_Deaths,,QUEENS_DATE_OF_INTEREST,QUEENS_Case,QUEENS_Hospitalization,QUEENS_Death,,SI_DATE_OF_INTEREST,SI_Cases,SI_Hospitalizations,SI_Deaths,,MANHATTAN_DATE_OF_INTEREST,MANHATTAN_Case,MANHATTAN_Hospitalizations,MANHATTAN_Deaths,,BROOKLYN_DATE_OF_INTEREST,BROOKLYN_Case,BROOKLYN_Hospitalizations,BROOKLYN_Deaths
2/29/20,2/29/20,0.00,0.00,0.00,,2/29/20,0.00,0.00,0.00,,2/29/20,0.00,0.00,0.00,,2/29/20,1.00,0.00,0.00,,2/29/20,0.00,0.00,0.00
3/3/20,3/3/20,0.00,0.00,0.00,,3/3/20,1.00,1.00,0.00,,3/3/20,0.00,0.00,0.00,,3/3/20,0.00,0.00,0.00,,3/3/20,0.00,0.00,0.00
3/4/20,3/4/20,0.00,0.00,0.00,,3/4/20,2.00,0.00,0.00,,3/4/20,0.00,0.00,0.00,,3/4/20,2.00,1.00,0.00,,3/4/20,1.00,1.00,0.00
3/5/20,3/5/20,0.00,0.00,0.00,,3/5/20,0.00,3.00,0.00,,3/5/20,0.00,0.00,0.00,,3/5/20,0.00,3.00,0.00,,3/5/20,3.00,2.00,0.00
3/6/20,3/6/20,2.00,1.00,0.00,,3/6/20,1.00,1.00,0.00,,3/6/20,1.00,1.00,0.00,,3/6/20,3.00,1.00,0.00,,3/6/20,1.00,1.00,0.00
3/7/20,3/7/20,0.00,1.00,0.00,,3/7/20,3.00,2.00,0.00,,3/7/20,1.00,0.00,0.00,,3/7/20,1.00,1.00,0.00,,3/7/20,2.00,2.00,0.00
3/8/20,3/8/20,3.00,2.00,0.00,,3/8/20,6.00,5.00,0.00,,3/8/20,1.00,0.00,0.00,,3/8/20,6.00,1.00,0.00,,3/8/20,5.00,7.00,0.00
3/9/20,3/9/20,4.00,6.00,0.00,,3/9/20,10.00,5.00,0.00,,3/9/20,3.00,1.00,0.00,,3/9/20,24.00,7.00,0.00,,3/9/20,16.00,11.00,0.00
3/10/20,3/10/20,8.00,4.00,0.00,,3/10/20,24.00,18.00,0.00,,3/10/20,2.00,4.00,0.00,,3/10/20,24.00,12.00,0.00,,3/10/20,11.00,10.00,0.00
3/11/20,3/11/20,19.00,19.00,0.00,,3/11/20,40.00,26.00,1.00,,3/11/20,3.00,2.00,0.00,,3/11/20,62.00,16.00,0.00,,3/11/20,31.00,10.00,0.00
3/12/20,3/12/20,29.00,12.00,0.00,,3/12/20,80.00,25.00,0.00,,3/12/20,13.00,2.00,0.00,,3/12/20,137.00,12.00,0.00,,3/12/20,96.00,28.00,0.00
3/13/20,3/13/20,79.00,30.00,0.00,,3/13/20,166.00,45.00,0.00,,3/13/20,26.00,3.00,0.00,,3/13/20,182.00,30.00,0.00,,3/13/20,166.00,36.00,0.00
3/14/20,3/14/20,86.00,24.00,0.00,,3/14/20,194.00,58.00,1.00,,3/14/20,23.00,6.00,0.00,,3/14/20,176.00,28.00,0.00,,3/14/20,163.00,38.00,1.00
3/15/20,3/15/20,119.00,35.00,1.00,,3/15/20,230.00,67.00,1.00,,3/15/20,47.00,16.00,1.00,,3/15/20,206.00,32.00,2.00,,3/15/20,433.00,46.00,0.00
3/16/20,3/16/20,304.00,69.00,3.00,,3/16/20,529.00,110.00,4.00,,3/16/20,91.00,16.00,0.00,,3/16/20,457.00,43.00,0.00,,3/16/20,740.00,92.00,1.00
3/17/20,3/17/20,343.00,63.00,1.00,,3/17/20,651.00,114.00,3.00,,3/17/20,108.00,19.00,0.00,,3/17/20,567.00,67.00,0.00,,3/17/20,783.00,96.00,4.00
3/18/20,3/18/20,482.00,107.00,1.00,,3/18/20,834.00,158.00,9.00,,3/18/20,150.00,24.00,0.00,,3/18/20,538.00,82.00,4.00,,3/18/20,966.00,120.00,6.00
3/19/20,3/19/20,623.00,126.00,4.00,,3/19/20,1065.00,169.00,6.00,,3/19/20,258.00,28.00,4.00,,3/19/20,556.00,96.00,4.00,,3/19/20,1204.00,152.00,6.00
3/20/20,3/20/20,723.00,119.00,13.00,,3/20/20,1184.00,236.00,9.00,,3/20/20,310.00,31.00,3.00,,3/20/20,653.00,116.00,11.00,,3/20/20,1137.00,199.00,11.00
3/21/20,3/21/20,488.00,160.00,12.00,,3/21/20,947.00,239.00,14.00,,3/21/20,248.00,35.00,1.00,,3/21/20,400.00,119.00,5.00,,3/21/20,554.00,183.00,12.00
3/22/20,3/22/20,494.00,168.00,12.00,,3/22/20,695.00,240.00,14.00,,3/22/20,317.00,29.00,6.00,,3/22/20,317.00,133.00,8.00,,3/22/20,755.00,193.00,10.00
3/23/20,3/23/20,729.00,221.00,12.00,,3/23/20,1189.00,354.00,28.00,,3/23/20,209.00,50.00,8.00,,3/23/20,532.00,189.00,7.00,,3/23/20,911.00,297.00,27.00
3/24/20,3/24/20,927.00,267.00,14.00,,3/24/20,1392.00,379.00,35.00,,3/24/20,350.00,47.00,6.00,,3/24/20,620.00,208.00,17.00,,3/24/20,1212.00,343.00,23.00
3/25/20,3/25/20,1064.00,298.00,30.00,,3/25/20,1572.00,433.00,32.00,,3/25/20,394.00,52.00,4.00,,3/25/20,591.00,204.00,20.00,,3/25/20,1253.00,409.00,37.00
3/26/20,3/26/20,998.00,322.00,37.00,,3/26/20,1642.00,453.00,60.00,,3/26/20,404.00,52.00,10.00,,3/26/20,628.00,233.00,33.00,,3/26/20,1375.00,483.00,50.00
3/27/20,3/27/20,1090.00,317.00,36.00,,3/27/20,1576.00,449.00,58.00,,3/27/20,371.00,64.00,7.00,,3/27/20,656.00,218.00,42.00,,3/27/20,1424.00,453.00,75.00
3/28/20,3/28/20,762.00,321.00,62.00,,3/28/20,1201.00,463.00,93.00,,3/28/20,266.00,53.00,13.00,,3/28/20,388.00,205.00,28.00,,3/28/20,862.00,396.00,78.00
3/29/20,3/29/20,700.00,320.00,55.00,,3/29/20,1076.00,481.00,95.00,,3/29/20,230.00,58.00,17.00,,3/29/20,408.00,165.00,35.00,,3/29/20,1148.00,447.00,90.00
3/30/20,3/30/20,1313.00,341.00,75.00,,3/30/20,1857.00,584.00,99.00,,3/30/20,398.00,74.00,11.00,,3/30/20,806.00,278.00,34.00,,3/30/20,1755.00,558.00,106.00
3/31/20,3/31/20,1283.00,385.00,98.00,,3/31/20,1809.00,585.00,96.00,,3/31/20,237.00,69.00,22.00,,3/31/20,617.00,238.00,43.00,,3/31/20,1517.00,526.00,126.00
4/1/20,4/1/20,1238.00,386.00,93.00,,4/1/20,1784.00,579.00,144.00,,4/1/20,263.00,76.00,16.00,,4/1/20,573.00,210.00,59.00,,4/1/20,1592.00,506.00,135.00
4/2/20,4/2/20,1290.00,367.00,96.00,,4/2/20,1822.00,600.00,140.00,,4/2/20,369.00,83.00,30.00,,4/2/20,652.00,247.00,62.00,,4/2/20,1617.00,435.00,170.00
