NEIGHBORHOOD,ADDRESS,Sale Price,SALE DATE
CHELSEA,"245 10TH AVENUE, 10/5E",2275000,10/1/19
CHELSEA,"459 WEST 18TH ST, PH2",7900000,10/1/19
CHINATOWN,"161 GRAND STREET, 3B",2575000,10/1/19
CIVIC CENTER,"215 PARK ROW, 18C",690000,10/1/19
CIVIC CENTER,"108 LEONARD STREET, 9L",2828387,10/1/19
CIVIC CENTER,"91 LEONARD STREET, 3C",2574340,10/1/19
CIVIC CENTER,"91 LEONARD STREET, SU20",2574340,10/1/19
CLINTON,"433 WEST 54TH STREET, 12",350000,10/1/19
CLINTON,"529 WEST 42ND STREET, 7/8X",1572800,10/1/19
EAST VILLAGE,"24 2 AVENUE, 6E",1237174,10/1/19
FLATIRON,"7 EAST 14TH STREET, 328",649000,10/1/19
FLATIRON,"5 EAST 22ND STREET, 15-H",1215000,10/1/19
FLATIRON,"69 FIFTH AVENUE, 9F",1215000,10/1/19
GRAMERCY,"122 EAST 23RD STREET, N1103",1464447,10/1/19
GREENWICH VILLAGE-CENTRAL,"50 WEST 9TH STREET, 1A",1040000,10/1/19
GREENWICH VILLAGE-CENTRAL,"42 WEST 13TH STREET, 5B",747500,10/1/19
HARLEM-CENTRAL,50 HAMILTON TERRACE,3800000,10/1/19
HARLEM-CENTRAL,"2460 7TH AVENUE, 57",200000,10/1/19
HARLEM-CENTRAL,"70 WEST 139 STREET, 5F",533786,10/1/19
HARLEM-CENTRAL,"1485 5 AVENUE, 16G",1100000,10/1/19
HARLEM-UPPER,"558 W 150TH STREET, 401",1150000,10/1/19
HARLEM-WEST,"512 WEST 135TH STREET, 64",36106,10/1/19
MANHATTAN VALLEY,"2131 FREDERICK DOUGLAS BLVD, 7F",2150000,10/1/19
MIDTOWN CBD,"117 EAST 57TH STREET, 27A",1850000,10/1/19
MIDTOWN CBD,"2 EAST 55TH STREET, 1036",293034,10/1/19
MIDTOWN EAST,"333 E 55TH ST, 6G",799000,10/1/19
MIDTOWN EAST,"10 MITCHELL PLACE, 9F",480000,10/1/19
MIDTOWN EAST,"845 UNITED NATIONS PLAZA, 33E",2042500,10/1/19
MIDTOWN EAST,"959 1 AVENUE, 11B",1730000,10/1/19
MIDTOWN WEST,"310 WEST 56TH STREET, 2E",462500,10/1/19
MURRAY HILL,"50 PARK AVENUE, PHE",1470150,10/1/19
MURRAY HILL,"225 EAST 36TH STREET, 6F",535000,10/1/19
MURRAY HILL,"155 EAST 34TH STREET, 12F",1065000,10/1/19
ROOSEVELT ISLAND,"425 MAIN STREET, 14L",1675000,10/1/19
SOUTHBRIDGE,"90 GOLD STREET, 24-C",1060000,10/1/19
TRIBECA,"250 SOUTH END AVENUE, 5B",675000,10/1/19
UPPER EAST SIDE (59-79),"236 EAST 78TH STREET, 5B",363750,10/1/19
UPPER EAST SIDE (59-79),"30 E 62ND STREET, 6B",1485000,10/1/19
UPPER EAST SIDE (59-79),"165 EAST 72ND STREET, 3B",540000,10/1/19
UPPER EAST SIDE (59-79),"1065 LEXINGTON AVENUE, 2B",2065000,10/1/19
UPPER EAST SIDE (79-96),310 EAST 81ST STREET,10,10/1/19
UPPER EAST SIDE (79-96),"51 EAST 90TH STREET, 5B",1625000,10/1/19
UPPER EAST SIDE (79-96),"1 GRACIE SQUARE, 15-E",1390500,10/1/19
UPPER WEST SIDE (59-79),"270 WEST END AVE, 5S",2950000,10/1/19
UPPER WEST SIDE (59-79),"41 WEST 72ND STREET, 10F",962246,10/1/19
UPPER WEST SIDE (79-96),"215 WEST 92ND STREET, 4E",1475000,10/1/19
UPPER WEST SIDE (79-96),"30 WEST 90TH STREET, 7A",2350000,10/1/19
UPPER WEST SIDE (79-96),"30 WEST 90TH STREET, 7B",2350000,10/1/19
UPPER WEST SIDE (96-116),"395 RIVERSIDE DRIVE, 9A",1490000,10/1/19
CHELSEA,"130 WEST 24TH STREET, 2A",2300000,10/2/19
CHELSEA,"550 WEST 29TH STREET, 7A",4050000,10/2/19
CHELSEA,"308 W 30TH ST, 10A",850000,10/2/19
CHELSEA,"346 WEST 22ND STREET, 4",2247500,10/2/19
CIVIC CENTER,"108 LEONARD STREET, 7L",2610932,10/2/19
