DATE_OF_INTEREST,Case,Hospitalization,Death
2/29/20,0,0,0
3/3/20,1,1,0
3/4/20,2,0,0
3/5/20,0,3,0
3/6/20,1,1,0
3/7/20,3,2,0
3/8/20,6,5,0
3/9/20,10,5,0
3/10/20,24,18,0
3/11/20,40,26,1
3/12/20,80,25,0
3/13/20,166,45,0
3/14/20,194,58,1
3/15/20,230,67,1
3/16/20,529,110,4
3/17/20,651,114,3
3/18/20,834,158,9
3/19/20,1065,169,6
3/20/20,1184,236,9
3/21/20,947,239,14
3/22/20,695,240,14
3/23/20,1189,354,28
3/24/20,1392,379,35
3/25/20,1572,433,32
3/26/20,1642,453,60
3/27/20,1576,449,58
3/28/20,1201,463,93
3/29/20,1076,481,95
3/30/20,1857,584,99
3/31/20,1809,585,96
4/1/20,1784,579,144
4/2/20,1822,600,140
4/3/20,1762,541,160
4/4/20,1202,502,158
4/5/20,1137,422,182
4/6/20,1925,554,201
4/7/20,1948,560,183
4/8/20,1855,537,182
4/9/20,1561,477,173
4/10/20,1334,470,156
4/11/20,988,380,163
4/12/20,918,332,174
4/13/20,976,367,194
4/14/20,1301,387,163
4/15/20,1180,305,150
4/16/20,1140,296,132
4/17/20,1098,285,122
4/18/20,705,215,136
4/19/20,868,192,136
4/20/20,1223,215,126
4/21/20,937,207,103
4/22/20,1109,168,86
4/23/20,792,144,107
4/24/20,775,149,99
4/25/20,540,106,82
4/26/20,331,114,90
4/27/20,721,105,91
4/28/20,895,112,73
4/29/20,692,90,81
4/30/20,593,91,68
5/1/20,620,92,77
5/2/20,333,77,61
5/3/20,248,68,55
5/4/20,437,67,55
5/5/20,462,54,46
5/6/20,444,57,59
5/7/20,358,56,41
5/8/20,345,55,48
5/9/20,256,44,33
5/10/20,85,17,37
5/11/20,376,60,27
5/12/20,313,30,18
5/13/20,308,30,30
5/14/20,331,48,23
5/15/20,266,34,27
5/16/20,136,32,21
5/17/20,106,28,26
5/18/20,273,35,21
5/19/20,286,25,12
5/20/20,255,16,26
5/21/20,310,20,9
5/22/20,238,26,28
5/23/20,135,20,14
5/24/20,120,16,13
5/25/20,114,19,12
5/26/20,267,22,9
5/27/20,165,26,18
5/28/20,178,22,10
5/29/20,212,30,14
5/30/20,109,16,17
5/31/20,79,22,16
6/1/20,157,17,16
6/2/20,163,18,15
6/3/20,148,20,9
6/4/20,148,23,9
6/5/20,103,18,5
6/6/20,98,13,11
6/7/20,74,7,10
6/8/20,147,22,15
6/9/20,130,13,10
6/10/20,109,17,8
6/11/20,117,15,8
6/12/20,131,12,10
6/13/20,73,16,2
6/14/20,68,14,6
6/15/20,122,15,6
6/16/20,120,20,7
6/17/20,93,16,8
6/18/20,123,22,6
6/19/20,123,11,5
6/20/20,54,10,6
6/21/20,58,11,11
6/22/20,119,13,9
6/23/20,122,12,5
6/24/20,103,16,8
6/25/20,79,12,4
6/26/20,76,8,5
6/27/20,60,6,6
6/28/20,58,12,6
6/29/20,133,13,7
6/30/20,112,14,8
7/1/20,93,13,3
7/2/20,118,18,5
7/3/20,65,4,6
7/4/20,32,8,3
7/5/20,38,12,2
7/6/20,119,20,4
7/7/20,106,14,4
7/8/20,88,5,5
7/9/20,94,11,1
7/10/20,90,14,1
7/11/20,86,8,5
7/12/20,70,7,5
7/13/20,138,12,5
7/14/20,122,13,3
7/15/20,90,11,7
7/16/20,109,6,3
7/17/20,105,17,8
7/18/20,49,8,2
7/19/20,46,13,0
7/20/20,109,7,3
7/21/20,100,6,2
7/22/20,76,12,4
7/23/20,64,7,4
7/24/20,75,11,1
7/25/20,46,6,2
7/26/20,33,5,2
7/27/20,78,10,1
7/28/20,73,8,4
7/29/20,68,6,1
7/30/20,61,9,0
7/31/20,60,6,1
8/1/20,54,3,1
8/2/20,33,11,0
8/3/20,84,9,1
8/4/20,46,6,2
8/5/20,79,12,3
8/6/20,66,8,2
8/7/20,57,7,2
8/8/20,43,4,0
8/9/20,37,5,2
8/10/20,76,6,2
8/11/20,51,4,2
8/12/20,86,10,0
8/13/20,67,10,0
8/14/20,69,16,0
8/15/20,42,4,0
8/16/20,39,5,2
8/17/20,93,13,2
8/18/20,87,14,0
8/19/20,69,5,1
8/20/20,55,12,2
8/21/20,60,8,3
8/22/20,34,7,1
8/23/20,40,10,0
8/24/20,83,6,0
8/25/20,69,10,0
8/26/20,66,4,3
8/27/20,61,11,0
8/28/20,51,6,1
8/29/20,32,5,1
8/30/20,42,6,2
8/31/20,77,13,0
9/1/20,72,6,1
9/2/20,69,8,1
9/3/20,89,8,1
9/4/20,58,10,2
9/5/20,33,3,0
9/6/20,60,6,2
9/7/20,52,8,1
9/8/20,95,7,0
9/9/20,82,9,1
9/10/20,70,9,1
9/11/20,77,7,0
9/12/20,61,4,3
9/13/20,65,5,1
9/14/20,96,5,2
9/15/20,71,5,1
9/16/20,81,12,3
9/17/20,92,5,1
9/18/20,66,5,0
9/19/20,53,7,1
9/20/20,28,4,1
9/21/20,114,5,0
9/22/20,100,11,0
9/23/20,103,8,0
9/24/20,86,6,0
9/25/20,123,11,1
9/26/20,60,11,1
9/27/20,100,8,0
9/28/20,109,15,1
9/29/20,168,12,2
9/30/20,133,6,0
10/1/20,135,4,4
10/2/20,138,10,1
10/3/20,95,5,2
10/4/20,81,11,2
10/5/20,189,19,0
10/6/20,139,8,1
10/7/20,124,9,1
10/8/20,114,6,2
10/9/20,139,14,0
10/10/20,94,3,2
10/11/20,80,9,0
10/12/20,90,10,1
10/13/20,91,4,0
10/14/20,22,19,0
10/15/20,142,19,3
10/16/20,132,10,1
10/17/20,107,11,1
10/18/20,117,13,0
10/19/20,176,16,0
10/20/20,150,22,3
10/21/20,187,11,0
10/22/20,173,14,0
10/23/20,158,17,1
10/24/20,101,8,1
