NEIGHBORHOOD,ADDRESS,Sale Price,SALE DATE
ASTORIA,30-85 31ST STREET,3375000,10/1/19
ASTORIA,30 31ST STREET,3375000,10/1/19
ASTORIA,"23-11 21ST AVENUE, PS4",35000,10/1/19
BAYSIDE,38-16 CLEARVIEW EXPRESSWAY,1040000,10/1/19
BEECHHURST,"9-05 162ND STREET, 7B",310000,10/1/19
CAMBRIA HEIGHTS,115-99 222 STREET,520000,10/1/19
CAMBRIA HEIGHTS,119-13 235TH STREET,460000,10/1/19
COLLEGE POINT,131-21 14TH AVENUE,15000000,10/1/19
CORONA,112-08 ROOSEVELT AVENUE,978000,10/1/19
DOUGLASTON,"242-20 HORACE HARDING EXPRESSWAY, LOWER",196000,10/1/19
DOUGLASTON,"43-25 DOUGLASTON PKWY, 1K",407500,10/1/19
FLUSHING-NORTH,150-23 25TH AVENUE,1415368,10/1/19
FLUSHING-NORTH,33-12 161ST STREET,1150000,10/1/19
FLUSHING-NORTH,35-63 161ST STREET,1135000,10/1/19
FLUSHING-NORTH,"147-37 38TH AVENUE, C65",295000,10/1/19
FLUSHING-SOUTH,69-37 167TH STREET,850000,10/1/19
FLUSHING-SOUTH,"75-32 PARSONS BOULEVARD, B2",524500,10/1/19
FOREST HILLS,"102-10 66TH RD, 19B",480000,10/1/19
FOREST HILLS,"72-61 113TH STREET, 5S",465000,10/1/19
GLEN OAKS,"74-16 260TH STREET, 28H51",385000,10/1/19
GLENDALE,69-11 67TH PLACE,618000,10/1/19
GLENDALE,70-23 71ST STREET,880000,10/1/19
HOLLIS,102-11 188TH STREET,400000,10/1/19
HOWARD BEACH,"151-39 SAPPHIRE STREET, 2X-1",449000,10/1/19
LITTLE NECK,58-21 260TH STREET,800000,10/1/19
LITTLE NECK,"256-16 60TH AVENUE, 819",320000,10/1/19
LONG ISLAND CITY,"5-28 47TH AVE, 1A",799326,10/1/19
MASPETH,58-53 59TH STREET,755000,10/1/19
NEPONSIT,145 BEACH 149TH STREET,1270000,10/1/19
QUEENS VILLAGE,221-57 92ND AVENUE,623000,10/1/19
REGO PARK,"92-29 QUEENS BOULEVARD, 1D",160000,10/1/19
RICHMOND HILL,85-53 110TH STREET,690000,10/1/19
RICHMOND HILL,130-05 95TH AVENUE,540000,10/1/19
RIDGEWOOD,64-56 MADISON STREET,1500000,10/1/19
ROSEDALE,144-15 222ND STREET,1000,10/1/19
SO. JAMAICA-BAISLEY PARK,120-07 INWOOD STREET,490000,10/1/19
SOUTH OZONE PARK,125-06 111 AVE,980000,10/1/19
SPRINGFIELD GARDENS,127-19 SIDWAY PLACE,555000,10/1/19
SPRINGFIELD GARDENS,120-04 196TH STREET,630000,10/1/19
ST. ALBANS,11856 FARMERS BLVD,815000,10/1/19
SUNNYSIDE,50-52 40TH STREET,700000,10/1/19
SUNNYSIDE,"48-01 42ND STREET, 6D",730000,10/1/19
WOODHAVEN,87-34 WOODHAVEN BOULEVARD,800000,10/1/19
ASTORIA,"33-60 21ST STREET, 10D",610000,10/2/19
BAYSIDE,28-53 215TH PLACE,999888,10/2/19
BAYSIDE,45-31 FRANCIS LEWIS BLVD,1277500,10/2/19
BAYSIDE,"17-85 215TH STREET, 11B",365000,10/2/19
BELLEROSE,81-32 252ND STREET,850000,10/2/19
EAST ELMHURST,31-27 97TH STREET,875000,10/2/19
ELMHURST,85-36 54TH AVENUE,10,10/2/19
ELMHURST,"83-45 VIETOR AVENUE, 7X",340000,10/2/19
ELMHURST,"88-12 ELMHURST AVENUE, 1L",424000,10/2/19
FLORAL PARK,83-37 LITTLE NECK PARKWAY,600000,10/2/19
FLORAL PARK,270-03 HILLSIDE AVENUE,2050000,10/2/19
FLUSHING-NORTH,151-28 27TH AVENUE,900000,10/2/19
FLUSHING-NORTH,46-38 BOWNE STREET,1589000,10/2/19
FLUSHING-NORTH,"25-15 UNION STREET, 1H",363000,10/2/19
FLUSHING-NORTH,"3011 PARSONS BLVD, 5G",249000,10/2/19
FLUSHING-NORTH,"137-40 45TH AVENUE, 3J",335000,10/2/19
FLUSHING-NORTH,"147-20 35TH AVENUE, 12D",480000,10/2/19
FLUSHING-NORTH,"147-20 35TH AVENUE, 35",480000,10/2/19
FLUSHING-SOUTH,"68-47 136TH STREET, A",378000,10/2/19
FLUSHING-SOUTH,"69-51A PARK DRIVE EAST, A",390000,10/2/19
FOREST HILLS,"70-31 108TH STREET, 11C",610000,10/2/19
FOREST HILLS,"7235 112TH STREET, 3B",275000,10/2/19
FOREST HILLS,"6 BURNS STREET, B43",440000,10/2/19
FOREST HILLS,"77-16 AUSTIN STREET, 2G",450000,10/2/19
GLENDALE,79-71 78TH AVE,885000,10/2/19
HOWARD BEACH,"84-29 155TH AVENUE, LD",250000,10/2/19
HOWARD BEACH,"84-29 155TH AVENUE, 2G",120000,10/2/19
HOWARD BEACH,"151-15 84TH STREET, LOBM",327000,10/2/19
JACKSON HEIGHTS,32-41 93RD STREET,1013202,10/2/19
JACKSON HEIGHTS,"35-35 75TH STREET, 604",655000,10/2/19
JACKSON HEIGHTS,"37-30 73RD STREET, PQ",425000,10/2/19
JACKSON HEIGHTS,"32-45 90TH STREET, 609",300000,10/2/19
JACKSON HEIGHTS,"35-51 85TH STREET, 4D",440000,10/2/19
JAMAICA,"87-26 175TH STREET, 7D",440000,10/2/19
LITTLE NECK,43-31 247TH STREET,650000,10/2/19
LITTLE NECK,57-30 254TH STREET,800000,10/2/19
LONG ISLAND CITY,"22-18 JACKSON AVE, 810",980770,10/2/19
LONG ISLAND CITY,"27-28 THOMSON AVENUE, 225",1200000,10/2/19
MASPETH,67-31 47TH AVENUE,978500,10/2/19
MASPETH,59-11 58TH DRIVE,668000,10/2/19
MASPETH,62-91 60TH DRIVE,635000,10/2/19
MIDDLE VILLAGE,79-18 67TH ROAD,665000,10/2/19
MIDDLE VILLAGE,79-17 69TH AVENUE,10,10/2/19
OAKLAND GARDENS,"212-21A 73RD AVENUE, 317",250000,10/2/19
OAKLAND GARDENS,"73-63 BELL BLVD, 4L",363000,10/2/19
OZONE PARK,86-44 103RD AVENUE,1080000,10/2/19
OZONE PARK,N/A 103RD AVENUE,1080000,10/2/19
OZONE PARK,"9752 75TH STREET, A33",100000,10/2/19
QUEENS VILLAGE,93-09 212TH PLACE,565000,10/2/19
REGO PARK,"61-35 98TH STREET, 8K",440000,10/2/19
REGO PARK,"99-31 64 AVENUE, D9",308310,10/2/19
REGO PARK,"66-10 THORNTON PLACE, 5J",315000,10/2/19
RICHMOND HILL,108-03 85TH AVENUE,635000,10/2/19
RICHMOND HILL,103-12 117TH STREET,786000,10/2/19
ROSEDALE,259-16 148TH DRIVE,515000,10/2/19
SO. JAMAICA-BAISLEY PARK,117-33 141ST STREET,525000,10/2/19
SO. JAMAICA-BAISLEY PARK,150-63 FOCH BOULEVARD,505000,10/2/19
SO. JAMAICA-BAISLEY PARK,14315 119TH AVE,500000,10/2/19
SOUTH JAMAICA,112-14 169TH STREET,600000,10/2/19
SPRINGFIELD GARDENS,176-07 126 AVENUE,560000,10/2/19
SPRINGFIELD GARDENS,144-51 166TH STREET,300000,10/2/19
ST. ALBANS,189-10 114TH ROAD,492000,10/2/19
ST. ALBANS,113-05 210TH STREET,580000,10/2/19
ST. ALBANS,114-04 197TH STREET,300000,10/2/19
ST. ALBANS,197-01 116TH AVE.,572400,10/2/19
ST. ALBANS,119-57 178TH STREET,575000,10/2/19
ST. ALBANS,119-55 177TH PLACE,431998,10/2/19
ST. ALBANS,118-15 204TH STREET,16000,10/2/19
ST. ALBANS,119-30 199TH STREET,651900,10/2/19
SUNNYSIDE,45-22 39 PLACE,2600000,10/2/19
SUNNYSIDE,"43-33 48TH STREET, 4J",312500,10/2/19
WHITESTONE,"17-70 166TH STREET, 4-175",200000,10/2/19
WOODHAVEN,91-28 78 STREET,550000,10/2/19
WOODSIDE,"34-43 60TH STREET, 2E",333000,10/2/19
ARVERNE,69-52 ALMEDA AVENUE,267000,10/3/19
ASTORIA,22-28 31ST STREET,2500000,10/3/19
BAYSIDE,47-20 212TH STREET,1050000,10/3/19
BAYSIDE,"47-28 215TH PLACE, 3B",305000,10/3/19
BAYSIDE,"220-55 46TH AVENUE, 15R",225000,10/3/19
BEECHHURST,162-35 12TH ROAD,1200000,10/3/19
BEECHHURST,"167-15 12TH AVE, 2D",355000,10/3/19
BELLE HARBOR,424 BEACH 129TH STREET,1770000,10/3/19
BELLE HARBOR,420 BEACH 129TH STREET,2000000,10/3/19
BELLEROSE,81-40 247TH STREET,593000,10/3/19
BROAD CHANNEL,56 WEST 18TH ROAD,500,10/3/19
BROAD CHANNEL,14-16 CROSS BAY BOULEVARD,525,10/3/19
CORONA,"97-05 50TH AVENUE, 5A",235000,10/3/19
DOUGLASTON,"65-07 242ND STREET, 4E",240000,10/3/19
ELMHURST,93-22 43RD AVENUE,977520,10/3/19
