NEIGHBORHOOD,ADDRESS,Sale_Price,SALE_DATE
ASTORIA,32-68 41ST STREET,1690673,1/1/20
BAYSIDE,"35-36 206TH STREET, 369",233888,1/1/20
ASTORIA,28-50 36TH STREET,1475000,1/2/20
ASTORIA,"24-39 38TH STREET, D7",565000,1/2/20
ASTORIA,25-96 STEINWAY STREET,2230000,1/2/20
BAYSIDE,40-14 215TH PLACE,998000,1/2/20
BAYSIDE,51-08 217TH STREET,850000,1/2/20
CAMBRIA HEIGHTS,120-38 235TH STREET,525000,1/2/20
ELMHURST,70-16 53RD ROAD,760000,1/2/20
ELMHURST,94-24 40 ROAD,1250000,1/2/20
FLORAL PARK,78-47 LANGDALE STREET,590000,1/2/20
FLUSHING-NORTH,41-16 159TH STREET,1440000,1/2/20
FLUSHING-SOUTH,147-11 68TH RD,1230000,1/2/20
FLUSHING-SOUTH,141-42 71ST AVENUE,860000,1/2/20
FOREST HILLS,"75-40 AUSTIN STREET, 5CL",325000,1/2/20
HILLCREST,80-24 162ND STREET,565000,1/2/20
HOLLIS,188-05 LIBERTY AVENUE,500,1/2/20
HOLLIS,88-01 208 STREET,523000,1/2/20
MIDDLE VILLAGE,64-24 PLEASANTVIEW STREET,665000,1/2/20
MIDDLE VILLAGE,"66-45 69TH STREET, 13",350000,1/2/20
REGO PARK,"97-11 63RD DRIVE, A7",345000,1/2/20
REGO PARK,"63-60 102ND STREET, C-1",495000,1/2/20
RICHMOND HILL,97-28 125TH STREET,385000,1/2/20
SOUTH OZONE PARK,116-22 VAN WYCK EXPRESSWAY,600000,1/2/20
SPRINGFIELD GARDENS,183-04 146TH TERRACE,769999,1/2/20
WHITESTONE,149-40 5 AVENUE,845000,1/2/20
WHITESTONE,15-18 MURRAY STREET,520000,1/2/20
WOODHAVEN,91-13 77TH STREET,891000,1/2/20
ARVERNE,420 BEACH 69 STREET,510000,1/3/20
ASTORIA,30-74 50TH STREET,925000,1/3/20
ASTORIA,23-03 35TH STREET,387500,1/3/20
ASTORIA,24-63 CRESCENT STREET,1575000,1/3/20
ASTORIA,23-31 ASTORIA BOULEVARD,2250000,1/3/20
BAYSIDE,45-38 204TH STREET,878000,1/3/20
BAYSIDE,18-28 BELL BLVD,1275000,1/3/20
BAYSIDE,"209-33 26TH AVENUE, 2C",700000,1/3/20
BAYSIDE,"18-15 215TH STREET, 3S",301158,1/3/20
BAYSIDE,"2 BAY CLUB DRIVE, 2W",650000,1/3/20
BAYSIDE,"2 BAY CLUB DRIVE, 4D",450000,1/3/20
BELLE HARBOR,"175 BEACH 127 STREET, 4",500000,1/3/20
CAMBRIA HEIGHTS,118-06 221ST STREET,620000,1/3/20
CAMBRIA HEIGHTS,119-25 235TH STREET,561500,1/3/20
EAST ELMHURST,N/A ASTORIA BOULEVARD,1060000,1/3/20
FAR ROCKAWAY,"833 CENTRAL AVENUE, 3-O",225000,1/3/20
FLUSHING-NORTH,50-26 184TH STREET,795000,1/3/20
FLUSHING-NORTH,"31-70 138TH STREET, 6A",244000,1/3/20
FLUSHING-NORTH,"43-22 UNION STREET, 5D",500000,1/3/20
FLUSHING-NORTH,"43-22 UNION STREET, P2",500000,1/3/20
FLUSHING-SOUTH,146-07 REEVES AVENUE,700000,1/3/20
FOREST HILLS,108-37 67TH AVENUE,1440000,1/3/20
FOREST HILLS,"118-17 UNION TURNPIKE, 7H",485000,1/3/20
FRESH MEADOWS,"196-45 69 AVENUE, 1",295000,1/3/20
HOLLIS,210-17 HOLLIS AVE,520000,1/3/20
HOWARD BEACH,156-31 87TH STREET,700000,1/3/20
HOWARD BEACH,"89-36 155TH AVENUE, 4",262500,1/3/20
JACKSON HEIGHTS,30-11 86TH STREET,715000,1/3/20
JACKSON HEIGHTS,"33-44 JUNCTION BLVD., 5V",170000,1/3/20
JAMAICA,"175-20 WEXFORD TERRACE, 3M",385000,1/3/20
KEW GARDENS,"118-82 METROPOLITAN AVE, 3C",325000,1/3/20
LITTLE NECK,43-40 248TH STREET,90000,1/3/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 2D",825000,1/3/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 4D",748000,1/3/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 6I",1404000,1/3/20
LONG ISLAND CITY,"11-12 44TH DRIVE, PH1",2373000,1/3/20
LONG ISLAND CITY,"21-30 44TH DRIVE, 3G",922304,1/3/20
LONG ISLAND CITY,"11-12 44TH DRIVE, PS7",2373000,1/3/20
LONG ISLAND CITY,"11-12 44TH DRIVE, PS12",1404000,1/3/20
MASPETH,60-72 54 PLACE,550000,1/3/20
MASPETH,54-54 43RD STREET,3450000,1/3/20
MIDDLE VILLAGE,60-72 71ST STREET,820000,1/3/20
MIDDLE VILLAGE,71-38 66TH DRIVE,517500,1/3/20
NEPONSIT,219 BEACH 141ST STREET,1250000,1/3/20
OAKLAND GARDENS,"226-07 KINGSBURY AVENUE, B",283000,1/3/20
OZONE PARK,90-17 97TH AVENUE,770000,1/3/20
QUEENS VILLAGE,89-49 214 STREET,485000,1/3/20
QUEENS VILLAGE,219-12 104TH AVENUE,560000,1/3/20
REGO PARK,99-23 64 ROAD,870000,1/3/20
REGO PARK,63-15 EVERTON STREET,1190000,1/3/20
REGO PARK,64-08 BOELSEN CRESCENT,1399999,1/3/20
RICHMOND HILL,91-63 111TH STREET,865000,1/3/20
RICHMOND HILL,105-15 101ST ROAD,670000,1/3/20
ROSEDALE,143-17 257TH STREET,975000,1/3/20
ROSEDALE,144-01 243RD STREET,2500000,1/3/20
SO. JAMAICA-BAISLEY PARK,155-23 116TH ROAD,525000,1/3/20
SOUTH JAMAICA,144-11 LUX ROAD,750000,1/3/20
SOUTH JAMAICA,110-40 166 STREET,280000,1/3/20
SOUTH OZONE PARK,129-60 135TH STREET,395000,1/3/20
SPRINGFIELD GARDENS,132-40 155TH STREET,450000,1/3/20
SPRINGFIELD GARDENS,19415 NASHVILLE BLVD,600000,1/3/20
SPRINGFIELD GARDENS,140-28 184TH STREET,638680,1/3/20
ST. ALBANS,116-37 194TH STREET,610000,1/3/20
WHITESTONE,"168-11 19TH AVENUE, 3-174",204000,1/3/20
WOODHAVEN,93-05 75TH STREET,575000,1/3/20
ASTORIA,20-53 29TH STREET,254563,1/4/20
ARVERNE,448 BEACH 47 STREET,210000,1/6/20
ASTORIA,22-66 29 STREET,1730000,1/6/20
BAYSIDE,45-58 217TH STREET,850000,1/6/20
BELLE HARBOR,423 BEACH 126TH STREET,670000,1/6/20
BELLEROSE,85-20 250TH STREET,599000,1/6/20
CAMBRIA HEIGHTS,118-11 SPRINGFIELD BLVD,560000,1/6/20
COLLEGE POINT,15-18 123 STREET,815000,1/6/20
FLUSHING-NORTH,43-39 192ND STREET,998000,1/6/20
FLUSHING-NORTH,150-26 59TH AVENUE,870000,1/6/20
FLUSHING-NORTH,"133-27 39TH AVENUE, 11K",808512,1/6/20
FLUSHING-NORTH,"132-36 POPLE AVENUE, 4C",571000,1/6/20
FLUSHING-NORTH,N/A NORTHERN BOULEVARD,2600000,1/6/20
FLUSHING-NORTH,"149-23 SANFORD AVENUE, B-C",200000,1/6/20
FLUSHING-SOUTH,69-15 171ST STREET,900000,1/6/20
FLUSHING-SOUTH,69-41 173RD STREET,680000,1/6/20
FLUSHING-SOUTH,174-09 73RD AVENUE,700000,1/6/20
FLUSHING-SOUTH,138-52 JEWEL AVENUE,955000,1/6/20
FLUSHING-SOUTH,147-58 78TH AVENUE,10,1/6/20
FLUSHING-SOUTH,"69-06 138 STREET, B",230000,1/6/20
FLUSHING-SOUTH,"69-71 136 STREET, 1420",330000,1/6/20
FOREST HILLS,"102-25 67 RD, 6E",270000,1/6/20
FOREST HILLS,"68-20 SELFRIDGE STREET, 4C",358000,1/6/20
GLENDALE,64-18 65TH LANE,968000,1/6/20
HOLLIS,104-29 210TH STREET,425000,1/6/20
HOWARD BEACH,"89-31 SHORE PARKWAY, 4",325000,1/6/20
JACKSON HEIGHTS,24-41 82ND STREET,633000,1/6/20
JACKSON HEIGHTS,30-20 85TH STREET,840000,1/6/20
JACKSON HEIGHTS,"34-39 82 STREET, 2",580000,1/6/20
JACKSON HEIGHTS,"35-51 85TH STREET, 6G",336000,1/6/20
JACKSON HEIGHTS,"22-10 80TH STREET, 91F",330000,1/6/20
KEW GARDENS,120-32 QUEENS BOULEVARD,4985000,1/6/20
KEW GARDENS,N/A KEW GARDENS ROAD,4985000,1/6/20
