Neighborhood,Address,Sale Price,Sale Date
ANNADALE,118 ELMBANK STREET,450000.00,6/24/20
ANNADALE,7 SANDGAP STREET,525000.00,7/2/20
ANNADALE,91 EAGAN AVENUE,480000.00,1/14/20
ANNADALE,70 SEGUINE PLACE,455500.00,7/15/20
ANNADALE,93 LORRAIN AVENUE,520000.00,6/22/20
ANNADALE,87 LORRAINE AVE,545000.00,9/1/20
ANNADALE,12 EAGAN AVENUE,458000.00,7/7/20
ANNADALE,18 EAGAN AVENUE,435000.00,8/20/20
ANNADALE,64 LORRAINE AVENUE,472000.00,5/29/20
ANNADALE,90 LORRAINE AVENUE,580000.00,5/1/20
ANNADALE,219 SHELDON AVENUE,237000.00,3/18/20
ANNADALE,154 STAFFORD AVENUE,797000.00,7/1/20
ANNADALE,137 SINCLAIR AVENUE,865000.00,6/15/20
ANNADALE,496 ARDEN AVENUE,480000.00,6/29/20
ANNADALE,4969 AMBOY ROAD,750000.00,8/27/20
ANNADALE,59 PINE TERRACE,635000.00,2/6/20
ANNADALE,22 ELY AVENUE,700000.00,8/27/20
ANNADALE,11 ELY AVENUE,519000.00,9/15/20
ANNADALE,126 SOUTH RAILROAD ST,710000.00,1/16/20
ANNADALE,253 EDGEGROVE AVENUE,430000.00,1/10/20
ANNADALE,385 VINELAND AVENUE,1075000.00,9/2/20
ANNADALE,315 KINGHORN STREET,1375000.00,3/3/20
ANNADALE,296 HAROLD AVENUE,1517193.00,5/15/20
ANNADALE,463 BARCLAY AVENUE,750000.00,1/6/20
ANNADALE,105 JANSEN STREET,638000.00,4/6/20
ANNADALE,158 TALLMAN STREET,490000.00,5/15/20
ANNADALE,343 BARCLAY AVENUE,725000.00,5/27/20
ANNADALE,226 TALLMAN STREET,970000.00,7/15/20
ANNADALE,48 POILLON AVENUE,900000.00,6/18/20
ANNADALE,15 NICOLOSI LOOP,1700000.00,9/3/20
ANNADALE,165 BATHGATE STREET,1120074.00,6/30/20
ANNADALE,170 BATHGATE STREET,710000.00,8/27/20
ANNADALE,68 JEANNETTE AVENUE,930000.00,8/28/20
ANNADALE,169 BARCLAY AVENUE,900000.00,2/21/20
ANNADALE,1020 ARDEN AVENUE,935000.00,2/13/20
ANNADALE,134 DETROIT AVENUE,900000.00,8/27/20
ANNADALE,792 ARDEN AVENUE,1085000.00,7/24/20
ANNADALE,211 RENSSELAER AVENUE,820000.00,3/9/20
ANNADALE,5119 AMBOY ROAD,885000.00,7/21/20
ANNADALE,52 BENNETT AVENUE,975000.00,5/29/20
