Town,Address,Sale Price,Sale Date
ANNADALE,578 ARDEN AVENUE,526000,10/1/19
ANNADALE,N/A BENNETT AVENUE,820000,10/1/19
ARDEN HEIGHTS,55 ALMOND STREET,770000,10/1/19
CLOVE LAKES,116 HARTFORD AVE,625000,10/1/19
ELTINGVILLE,55 LYNDALE AVENUE,510000,10/1/19
GREAT KILLS,142 ELKHART STREET,540000,10/1/19
GREAT KILLS,344 COLON AVENUE,640000,10/1/19
GREAT KILLS,296 SANDALWOOD DRIVE,545000,10/1/19
GREAT KILLS,4 EAST SCRANTON AVENUE,600000,10/1/19
HUGUENOT,781 SHELDON AVENUE,650000,10/1/19
MANOR HEIGHTS,192 PERRY AVENUE,460000,10/1/19
PLEASANT PLAINS,163 ACADEMY AVENUE,875000,10/1/19
PORT IVORY,"54A POND WAY, 54A",195000,10/1/19
ROSSVILLE,"57 CYPRESS LOOP, N/A",517500,10/1/19
SOUTH BEACH,60 LINWOOD AVENUE,715000,10/1/19
TOTTENVILLE,7247 AMBOY ROAD,95000,10/1/19
WEST NEW BRIGHTON,23 CLARION COURT,400000,10/1/19
WEST NEW BRIGHTON,718 HENDERSON AVENUE,650000,10/1/19
WESTERLEIGH,309 WILLARD AVENUE,522500,10/1/19
WESTERLEIGH,152 BRYSON AVENUE,510000,10/1/19
ANNADALE,47 PINE TERRACE,701000,10/2/19
ANNADALE,232 TALLMAN STREET,1190000,10/2/19
ARDEN HEIGHTS,177 FOREST GREEN,460000,10/2/19
CASTLETON CORNERS,10 WINTHROP PLACE,540000,10/2/19
DONGAN HILLS-COLONY,165 RIDGE AVENUE,795000,10/2/19
GRANT CITY,"98 HUSSON STREET, C",117500,10/2/19
GREAT KILLS,22 LYLE COURT,250000,10/2/19
GREAT KILLS,166 HOLLY AVENUE,765000,10/2/19
GREAT KILLS-BAY TERRACE,87 AINSWORTH AVENUE,475000,10/2/19
HUGUENOT,106 ELLSWORTH AVENUE,640000,10/2/19
MARINERS HARBOR,69 WESTBROOK AVENUE,440000,10/2/19
MARINERS HARBOR,479 MORNINGSTAR ROAD,457713,10/2/19
NEW BRIGHTON-ST. GEORGE,"155 BAY STREET, 4H",390000,10/2/19
NEW SPRINGVILLE,"49A SATURN LANE, 49A",360000,10/2/19
OAKWOOD,275 OAK AVENUE,609000,10/2/19
OAKWOOD,414 PENDALE ST,665000,10/2/19
OAKWOOD-BEACH,515 MEDINA STREET,480000,10/2/19
PRINCES BAY,50 MELVILLE STREET,883000,10/2/19
RICHMONDTOWN,71 ST ANDREWS ROAD,630703,10/2/19
ROSEBANK,49 ST MARYS AVENUE,733140,10/2/19
ROSEBANK,"412 MARYLAND AVENUE, 2C",270000,10/2/19
SOUTH BEACH,451 FATHER CAPODANNO BL,529900,10/2/19
TRAVIS,"70C DINSMORE STREET, N/A",470000,10/2/19
WESTERLEIGH,22 HARVEY AVENUE,747500,10/2/19
ANNADALE,117 EYLANDT STREET,842000,10/3/19
ANNADALE,477 PHILIP,100,10/3/19
ANNADALE,477 PHILIP,100,10/3/19
ARDEN HEIGHTS,517 ILYSSA WAY,325000,10/3/19
ARROCHAR,93 CEDAR AVENUE,499000,10/3/19
BULLS HEAD,116 COMSTOCK AVENUE,520000,10/3/19
CASTLETON CORNERS,194 UTTER AVENUE,608000,10/3/19
CASTLETON CORNERS,246 DUBOIS AVENUE,505000,10/3/19
CONCORD,22 ELLINGTON STREET,417000,10/3/19
CONCORD,855 VAN DUZER STREET,324000,10/3/19
DONGAN HILLS-COLONY,1011 RICHMOND ROAD,672000,10/3/19
GRASMERE,563 ODER AVENUE,475000,10/3/19
GRASMERE,841 WEST FINGERBOARD RD,499000,10/3/19
GREAT KILLS,38 STERN COURT,410000,10/3/19
GREAT KILLS,34 BLYTHE PLACE,775000,10/3/19
GREAT KILLS,345 KATAN AVENUE,725000,10/3/19
GREAT KILLS,"340 TIMBER RIDGE DRIVE, 6340",100,10/3/19
MARINERS HARBOR,250 DIXON AVENUE,407000,10/3/19
NEW BRIGHTON,248 RICHMOND TERRACE,500000,10/3/19
NEW BRIGHTON,77 MONTGOMERY AVENUE,825000,10/3/19
NEW DORP,228 TITUS AVENUE,475000,10/3/19
OAKWOOD-BEACH,82 GRAYSON STREET,650000,10/3/19
OAKWOOD-BEACH,N/A GRAYSON STREET,650000,10/3/19
PORT IVORY,140 SOUTH AVENUE,564000,10/3/19
SILVER LAKE,34 HARVEST AVENUE,920000,10/3/19
WESTERLEIGH,150 CASWELL AVENUE,725000,10/3/19
WESTERLEIGH,81 HOUSTON STREET,460000,10/3/19
WILLOWBROOK,9 RUPERT AVENUE,780000,10/3/19
WOODROW,563 BLOOMINGDALE ROAD,610000,10/3/19
ARDEN HEIGHTS,167 JAMIE LANE,371500,10/4/19
ARDEN HEIGHTS,108 EMILY LANE,100,10/4/19
ARDEN HEIGHTS,"95A STACK DRIVE, N/A",40000,10/4/19
CASTLETON CORNERS,31 COALE AVENUE,529000,10/4/19
CLOVE LAKES,803 DAVIS AVENUE,595000,10/4/19
CONCORD,737 TARGEE STREET,735000,10/4/19
ELTINGVILLE,365 MOSELY AVENUE,555000,10/4/19
ELTINGVILLE,142 AUGUSTA AVENUE,728000,10/4/19
GRANT CITY,360 FLAGG PLACE,10,10/4/19
GRANT CITY,210 BUEL AVENUE,520000,10/4/19
GREAT KILLS,26 GREAVES AVENUE,475000,10/4/19
GREAT KILLS,12 TERESA LANE,655000,10/4/19
GREAT KILLS,630 LEVERETT AVENUE,585000,10/4/19
HUGUENOT,695 HUGUENOT AVENUE,1212735,10/4/19
MANOR HEIGHTS,204 GOWER STREET,405000,10/4/19
MANOR HEIGHTS,140 PORTAGE AVENUE,740000,10/4/19
